Af,Eaf,Ar,Ear,sigma
34.71742568606791,57160.11275037666,678790.4596207626,106585.37050499684,5.129108555920041
29.38163644566535,56939.97120623341,455141.5213986066,105032.03254701819,5.739988200018411
37.95680904912053,57306.148673651194,1036093.6978517161,108877.52320767622,5.486070183315299
28.04865779672052,55739.49098810174,732653.113944712,107185.39678092806,6.185150143640051
41.17060654399144,57660.06754542734,1140765.1391942266,109232.27449365112,5.531023048716215
41.99951821688437,57906.46745713517,1247276.9114520347,110057.70963539333,4.890497193437907
28.919992232742302,56305.94138414494,405824.6826530184,103660.76249421464,6.005713331208744
31.048277288815804,56612.75813203062,601845.4678898772,106016.69239054828,5.272733532744619
40.20278475163771,57858.1127755674,986037.6083264138,108664.72452182793,5.415067590381042
31.895513262040577,56923.78396772785,676844.0198111525,106951.36610976624,4.970920986228494
26.124103329352508,55854.7587799005,409151.0265049306,103659.60311580508,6.3878151916373636
26.124103329352508,55854.7587799005,409151.0265049306,103659.60311580508,6.3878151916373636
33.26116658865579,57288.364383646134,527317.7765203802,105451.87269394482,5.811913421501899
23.863166461342033,55615.172701383985,373845.68703349296,103567.68873509848,6.33158407386779
28.699097629091803,56548.201137925906,516849.4513833238,105515.0126144686,5.387885781854872
30.089742251409383,56766.219865455445,473043.8569570236,104709.36481406985,5.6808770687312
27.608668278693344,56386.21646205313,400964.2543669005,103790.9104359509,5.994167044607809
28.797697679315487,56522.167158069125,428806.85635154083,104165.15260863715,6.017013627762068
26.217972536618845,56204.65968602449,383813.5865400986,103874.58021636597,5.948146388272912
29.882295356732474,57042.94241551134,452860.3154421492,104961.491471475,5.558811210869632
34.2929617813978,57242.168910354994,525986.2559635405,104978.06632655159,5.355865488349699
31.615430356861776,57048.845815653905,463323.6375606969,104704.74697387374,5.557494454110644
25.999613179949662,56270.74524890554,360167.2996886912,103580.5203121321,5.930217924076555
29.62500568957085,56581.16514351079,471400.3567655345,104588.9637570971,5.936549942962545
26.763627084077424,56328.87217655203,489487.3354634684,105588.2121456416,5.2648481647086705
22.74935208525139,55101.001130573015,366488.34588386095,103626.63531347753,5.567753064781064
23.8956819389375,55623.80083004458,295532.26259095414,102343.76323842618,5.882794700403474
27.608668278693344,56386.21646205313,400964.2543669005,103790.9104359509,5.994167044607809
27.608668278693344,56386.21646205313,400964.2543669005,103790.9104359509,5.994167044607809
27.608668278693344,56386.21646205313,400964.2543669005,103790.9104359509,5.994167044607809
26.315727132949398,56168.95161692226,403052.29697582097,103988.08559896504,5.8339122330223985
27.608668278693344,56386.21646205313,400964.2543669005,103790.9104359509,5.994167044607809
27.07955290771032,56263.415777250484,454007.99789688765,104564.93349572443,5.744271681846523
29.203304953731795,56705.109357470894,440714.776647712,104387.60280068587,5.855302126422218
30.69383516345012,56868.30874196355,454809.3789798294,104652.25270620779,5.788191529875857
27.490953588848438,56202.60935579592,541640.4082640558,105859.66437567273,5.5532981516684785
25.128451765167483,55612.12594261195,354486.3198647391,103098.28465616622,6.064416827467854
23.70015961520078,55371.07816282362,369093.7386605441,103386.70870803029,6.116659249568097
28.540390066767,56260.973672247594,643167.020305464,106785.2482460315,4.882629439547137
27.90887808909774,55996.38261786684,590743.7956293015,105892.63864270225,5.585132067610154
24.31900969967369,55557.94853749792,345143.24263793934,102999.68151578237,5.8707651935755525
28.424024715758975,56334.81979723258,541414.931769954,105776.72216440587,4.834459436091502
24.206449537187062,55703.34327238564,451774.403519582,104975.11032245519,5.6032460441728
25.795217335969262,55393.61360621061,519043.7357142555,105011.52514649247,5.243261166670688
25.36663591013151,55717.18223230907,415365.7578805011,103977.51648061337,5.867790243842987
25.434510293727055,55561.647607117106,416526.94365513464,103671.42677485282,5.481048398989176
23.70015961520078,55371.07816282362,369093.7386605441,103386.70870803029,6.116659249568097
21.03391814661765,54745.10668902609,368961.3949062134,103520.4400693435,5.996169723824931
21.600908888817976,54888.122740902785,332082.8258637998,102925.25236684103,5.966394323334744
21.600908888817976,54888.122740902785,332082.8258637998,102925.25236684103,5.966394323334744
27.740529405605393,56243.88042830262,423271.495007121,103958.69644253724,5.835309398329479
26.150731007143488,55697.622610701976,432510.01811194513,103865.6535572941,5.752714264232532
22.719623913102684,55016.48205192601,416168.60959356505,104354.1788423371,5.640819186647908
36.765559475750905,57072.87367756472,1114320.9777305832,109251.34504250546,5.046352324021382
28.80288352104889,55597.511931534646,803562.6873692127,107373.9238391216,4.891474281955166
23.70015961520078,55371.07816282362,369093.7386605441,103386.70870803029,6.116659249568097
23.70015961520078,55371.07816282362,369093.7386605441,103386.70870803029,6.116659249568097
26.76468674439534,56091.45743075607,400635.46759869467,103955.71904231832,6.193935947856898
24.863297669708437,55821.28934532965,378578.69994353293,103754.58214467685,6.25170370589584
32.563988867853844,56527.93961721026,761446.407487615,107166.85582899969,5.528766416388737
28.816998176835494,56261.192610848666,480598.48394805763,104619.22051511079,6.184175930938007
28.31816012101467,56091.956570172115,607174.9493112402,105999.11771344482,5.52983597686277
29.150120892929785,56618.95515804055,422021.39995695965,103981.57436103617,6.065189291175326
21.212500575192657,54890.74030196546,339137.30801175535,103254.00882089161,6.416468770787639
38.462105788319285,57494.72847440858,878284.8790922217,107811.20419321784,5.739311905786005
24.555352355370783,55628.129766643775,428548.7488143025,104455.38668944968,5.775155212720739
24.555352355370783,55628.129766643775,428548.7488143025,104455.38668944968,5.775155212720739
29.86266945949836,55879.866235898095,1073801.7453375105,109258.26916514347,5.430393375203138
20.83105438200558,54869.15592535737,311694.2573390766,102755.63966160234,6.557428796898938
